No.,Time,Source,Destination,Protocol,Length,Info,Source Port,Destination Port
1578,7.261631,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=359028 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1579,7.261631,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=360480 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1580,7.261631,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=361932 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1581,7.261631,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=363384 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1582,7.261631,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=364836 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1583,7.261631,199.232.26.87,192.168.178.54,TCP,1506,"443  >  49773 [PSH, ACK] Seq=366288 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU]",443,49773
1584,7.261631,199.232.26.87,192.168.178.54,TLSv1.2,1506,Application Data,443,49773
1585,7.26191,192.168.178.54,199.232.26.87,TCP,54,49773  >  443 [ACK] Seq=63712 Ack=369192 Win=132096 Len=0,49773,443
1586,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=369192 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1587,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=370644 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1588,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=372096 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1589,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=373548 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1590,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=375000 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1591,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=376452 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1592,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=377904 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1593,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=379356 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1594,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=380808 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1595,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=382260 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1596,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=383712 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1597,7.262225,199.232.26.87,192.168.178.54,TLSv1.2,1506,Application Data,443,49773
1598,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=386616 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1599,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=388068 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1600,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=389520 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1601,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=390972 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1602,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=392424 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1603,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=393876 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1604,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=395328 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1605,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=396780 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1606,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=398232 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1607,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=399684 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1608,7.262225,199.232.26.87,192.168.178.54,TLSv1.2,280,Application Data,443,49773
1609,7.262225,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=401362 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1610,7.262499,192.168.178.54,199.232.26.87,TCP,54,49773  >  443 [ACK] Seq=63712 Ack=402814 Win=132096 Len=0,49773,443
1611,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=402814 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1612,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=404266 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1613,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=405718 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1614,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=407170 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1615,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=408622 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1616,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=410074 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1617,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=411526 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1618,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=412978 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1619,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=414430 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1620,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=415882 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1621,7.263116,199.232.26.87,192.168.178.54,TLSv1.2,1506,Application Data,443,49773
1622,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=418786 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1623,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=420238 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1624,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=421690 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1625,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=423142 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1626,7.263116,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=424594 Ack=59159 Win=217088 Len=1452 [TCP segment of a reassembled PDU],443,49773
1627,7.263116,199.232.26.87,192.168.178.54,TCP,233,"443  >  49773 [PSH, ACK] Seq=426046 Ack=59159 Win=217088 Len=179 [TCP segment of a reassembled PDU]",443,49773
1628,7.263116,74.125.193.97,192.168.178.54,TCP,54,443  >  49796 [ACK] Seq=1 Ack=609 Win=66816 Len=0,443,49796
1629,7.263116,74.125.193.97,192.168.178.54,TLSv1.3,1466,"Server Hello, Change Cipher Spec",443,49796
1630,7.263302,192.168.178.54,199.232.26.87,TCP,54,49773  >  443 [ACK] Seq=63712 Ack=426225 Win=132096 Len=0,49773,443
1631,7.263826,74.125.193.97,192.168.178.54,TCP,1466,443  >  49796 [ACK] Seq=1413 Ack=609 Win=66816 Len=1412 [TCP segment of a reassembled PDU],443,49796
1632,7.263826,74.125.193.97,192.168.178.54,TCP,1466,443  >  49796 [ACK] Seq=2825 Ack=609 Win=66816 Len=1412 [TCP segment of a reassembled PDU],443,49796
1633,7.263826,74.125.193.97,192.168.178.54,TLSv1.3,896,Application Data,443,49796
1634,7.263826,199.232.26.87,192.168.178.54,TCP,54,443  >  49773 [ACK] Seq=426225 Ack=63712 Win=212992 Len=0,443,49773
1635,7.263894,192.168.178.54,74.125.193.97,TCP,54,49796  >  443 [ACK] Seq=609 Ack=5079 Win=131072 Len=0,49796,443
1636,7.264847,192.168.178.54,74.125.193.97,TLSv1.3,128,"Change Cipher Spec, Application Data",49796,443
1637,7.265009,192.168.178.54,74.125.193.97,TLSv1.3,146,Application Data,49796,443
1638,7.26517,192.168.178.54,74.125.193.97,TLSv1.3,466,Application Data,49796,443
1639,7.267172,192.168.178.54,192.168.178.1,TCP,66,49797  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49797,53
1640,7.267351,192.168.178.54,192.168.178.1,TCP,66,49798  >  53 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM,49798,53
1641,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=426225 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1642,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=427677 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1643,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=429129 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1644,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=430581 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1645,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=432033 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1646,7.267513,199.232.26.87,192.168.178.54,TLSv1.2,1506,Application Data,443,49773
1647,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=434937 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1648,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=436389 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1649,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=437841 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1650,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=439293 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1651,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=440745 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1652,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=442197 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1653,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=443649 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1654,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=445101 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1655,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=446553 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1656,7.267513,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=448005 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1657,7.267513,199.232.26.87,192.168.178.54,TLSv1.2,1506,Application Data,443,49773
1658,7.267728,192.168.178.54,199.232.26.87,TCP,54,49773  >  443 [ACK] Seq=63712 Ack=450909 Win=132096 Len=0,49773,443
1659,7.267789,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=450909 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1660,7.267789,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=452361 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1661,7.267789,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=453813 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1662,7.267789,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=455265 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1663,7.267868,192.168.178.54,199.232.26.87,TCP,54,49773  >  443 [ACK] Seq=63712 Ack=456717 Win=132096 Len=0,49773,443
1664,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=456717 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1665,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=458169 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1666,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=459621 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1667,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=461073 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1668,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=462525 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1669,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=463977 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1670,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=465429 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1671,7.270416,199.232.26.87,192.168.178.54,TLSv1.2,1506,"Application Data, Application Data",443,49773
1672,7.270416,199.232.26.87,192.168.178.54,TCP,1065,"443  >  49773 [PSH, ACK] Seq=468333 Ack=63712 Win=212992 Len=1011 [TCP segment of a reassembled PDU]",443,49773
1673,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=469344 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1674,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=470796 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1675,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=472248 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1676,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=473700 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1677,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=475152 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1678,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=476604 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1679,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=478056 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1680,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=479508 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1681,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=480960 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1682,7.270416,199.232.26.87,192.168.178.54,TLSv1.2,1506,Application Data,443,49773
1683,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=483864 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1684,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=485316 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1685,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=486768 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1686,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=488220 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1687,7.270416,199.232.26.87,192.168.178.54,TCP,495,"443  >  49773 [PSH, ACK] Seq=489672 Ack=63712 Win=212992 Len=441 [TCP segment of a reassembled PDU]",443,49773
1688,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=490113 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1689,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=491565 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1690,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=493017 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1691,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=494469 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1692,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=495921 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1693,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=497373 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1694,7.270416,199.232.26.87,192.168.178.54,TLSv1.2,1506,Application Data,443,49773
1695,7.270416,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=500277 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1696,7.270708,192.168.178.54,199.232.26.87,TCP,54,49773  >  443 [ACK] Seq=63712 Ack=501729 Win=132096 Len=0,49773,443
1697,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=501729 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1698,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=503181 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1699,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=504633 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1700,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=506085 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1701,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=507537 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1702,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=508989 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1703,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=510441 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1704,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=511893 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1705,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=513345 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1706,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=514797 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1707,7.270796,199.232.26.87,192.168.178.54,TLSv1.2,1506,Application Data,443,49773
1708,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=517701 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1709,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=519153 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1710,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=520605 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1711,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=522057 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1712,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=523509 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1713,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=524961 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1714,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=526413 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1715,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=527865 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1716,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=529317 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1717,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=530769 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1718,7.270796,199.232.26.87,192.168.178.54,TLSv1.2,1506,"Application Data, Application Data",443,49773
1719,7.270796,199.232.26.87,192.168.178.54,TCP,1291,"443  >  49773 [PSH, ACK] Seq=533673 Ack=63712 Win=212992 Len=1237 [TCP segment of a reassembled PDU]",443,49773
1720,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=534910 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1721,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=536362 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1722,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=537814 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1723,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=539266 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1724,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=540718 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1725,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=542170 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1726,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=543622 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1727,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=545074 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1728,7.270796,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=546526 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1729,7.271084,192.168.178.54,199.232.26.87,TCP,54,49773  >  443 [ACK] Seq=63712 Ack=547978 Win=132096 Len=0,49773,443
1730,7.271131,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=547978 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1731,7.271131,199.232.26.87,192.168.178.54,TLSv1.2,1506,Application Data,443,49773
1732,7.271131,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=550882 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1733,7.271131,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=552334 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1734,7.271131,199.232.26.87,192.168.178.54,TCP,269,"443  >  49773 [PSH, ACK] Seq=553786 Ack=63712 Win=212992 Len=215 [TCP segment of a reassembled PDU]",443,49773
1735,7.271131,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=554001 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1736,7.271131,199.232.26.87,192.168.178.54,TCP,1506,443  >  49773 [ACK] Seq=555453 Ack=63712 Win=212992 Len=1452 [TCP segment of a reassembled PDU],443,49773
1737,7.271131,199.232.26.87,192.168.178.54,TCP,1470,"443  >  49773 [PSH, ACK] Seq=556905 Ack=63712 Win=212992 Len=1416 [TCP segment of a reassembled PDU]",443,49773
1738,7.271223,192.168.178.54,199.232.26.87,TCP,54,49773  >  443 [ACK] Seq=63712 Ack=558321 Win=264192 Len=0,49773,443
1739,7.271259,192.168.178.1,192.168.178.54,TCP,66,"53  >  49797 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49797
1740,7.271259,192.168.178.1,192.168.178.54,TCP,66,"53  >  49798 [SYN, ACK] Seq=0 Ack=1 Win=29200 Len=0 MSS=1460 SACK_PERM WS=32",53,49798
1741,7.271259,74.125.193.97,192.168.178.54,TLSv1.3,1030,"Application Data, Application Data",443,49796
1742,7.271259,74.125.193.97,192.168.178.54,TLSv1.3,85,Application Data,443,49796
1743,7.271505,192.168.178.54,192.168.178.1,TCP,54,49797  >  53 [ACK] Seq=1 Ack=1 Win=131328 Len=0,49797,53
